go_stop_number	go_stop_name	go_stop_id	go_latitude	go_longitude	come_stop_number	come_stop_name	come_stop_id	come_latitude	come_longitude		
0東	0100000A00										
15	羅斯福浦城街口	1064600340	25.022418	121.5260858	15	羅斯福浦城街口	1064600340	25.022418	121.5260858		
16	捷運公館站	1009000160	25.015228	121.534086	16	捷運公館站	1009000160	25.015228	121.534086		
16	捷運台電大樓站	1008900420	25.020027	121.528697	16	捷運台電大樓站	1008900420	25.020027	121.528697		
17	台電大樓	1067300240	25.017546	121.531379	17	台電大樓	1067300240	25.017546	121.531379		
17	台電大樓	1067300200	25.018486	121.530566	17	台電大樓	1067300200	25.018486	121.530566		
18	捷運公館站	1009000140	25.014321	121.534722	18	捷運公館站	1009000140	25.014321	121.534722		
18	捷運台電大樓站	1064700300	25.02092	121.52803	18	捷運台電大樓站	1064700300	25.02092	121.52803		
19	羅斯福浦城街口	1064600300	25.022311	121.5265002	19	羅斯福浦城街口	1064600300	25.022311	121.5265002		
19	公館	1067300020	25.012096	121.5385308	19	公館	1067300020	25.012096	121.5385308		
2	吳興國小(松仁)	1104600000	25.026234	121.568628	2	吳興國小(松仁)	1104600000	25.026234	121.568628		
2	人壽一村	1085800020	25.031523	121.4902758	2	人壽一村	1085800020	25.031523	121.4902758		
20	羅斯福金門街口	1008400300	25.024106	121.5246768	20	羅斯福金門街口	1008400300	25.024106	121.5246768		
20	臺灣科技大學	1060700020	25.013453	121.5401488	20	臺灣科技大學	1060700020	25.013453	121.5401488		
21	捷運古亭站(羅斯福)	1008400200	25.02678	121.52269	21	捷運古亭站(羅斯福)	1008400200	25.02678	121.52269		
21	臺大癌醫(基隆路)	1067200720	25.015521	121.5425256	21	臺大癌醫(基隆路)	1067200720	25.015521	121.5425256		
22	捷運古亭站(杭州)	1064200100	25.02886	121.5219375	22	捷運古亭站(杭州)	1064200100	25.02886	121.5219375		
22	基隆長興街口	1067200320	25.017425	121.5448494	22	基隆長興街口	1067200320	25.017425	121.5448494		
23	南福板溪(南昌公園)	1007800060	25.02681	121.52053	23	南福板溪(南昌公園)	1007800060	25.02681	121.52053		
23	和平高中	1105200100	25.01963	121.54746	23	和平高中	1105200100	25.01963	121.54746		
24	牯嶺街	1007800300	25.02814	121.51789	24	牯嶺街	1007800300	25.02814	121.51789		
24	捷運六張犁站(基隆路)	1067500200	25.023636	121.5519069	24	捷運六張犁站(基隆路)	1067500200	25.023636	121.5519069		
25	喬治商職	1105400100	25.02628	121.5549231	25	喬治商職	1105400100	25.02628	121.5549231		
25	自來水西分處(牯嶺)	1007600100	25.029865	121.5166342	25	自來水西分處(牯嶺)	1007600100	25.029865	121.5166342		
26	三興國小(臨江街觀光夜市)	1105300100	25.028574	121.557017	26	三興國小(臨江街觀光夜市)	1105300100	25.028574	121.557017		
26	牯嶺街小劇場	1007500200	25.03176	121.51518	26	牯嶺街小劇場	1007500200	25.03176	121.51518		
27	吳興街口	1105200000	25.031596	121.5588464	27	吳興街口	1105200000	25.031596	121.5588464		
